time,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed
8:2:42:50,56.308598,44.077635,2.600000,182.4,0,323,6.638887405395508
8:2:42:723,56.308648,44.077573,3.900000,182.6,0,324,6.528736591339111
8:2:44:658,56.308748,44.077427,2.500000,182.7,0,324,6.563737869262695
8:2:45:846,56.308798,44.077362,2.500000,182.8,0,325,6.705801010131836
8:2:46:988,56.308845,44.077305,2.500000,182.7,0,327,6.077325344085693
8:2:47:624,56.308887,44.077250,2.500000,182.5,0,324,5.584736347198486
8:2:48:808,56.308927,44.077197,2.600000,182.4,0,324,5.26200532913208
8:2:49:927,56.308965,44.077150,3.900000,182.2,0,324,4.893464088439941
8:2:51:286,56.308998,44.077107,2.600000,182.1,0,326,4.419404983520508
8:2:51:928,56.309030,44.077068,3.900000,181.9,0,324,3.9751996994018555
8:2:53:353,56.309058,44.077018,3.500000,181.6,0,320,3.6936466693878174
8:2:54:621,56.309093,44.076968,3.100000,180.5,0,325,1.6774797439575195
8:2:55:862,56.309103,44.076953,3.000000,180.3,0,325,1.1833463907241821
8:2:56:964,56.309108,44.076948,2.900000,179.8,0,325,0
8:2:57:617,56.309112,44.076953,3.900000,179.5,0,325,0
8:2:59:857,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:1:242,56.309115,44.076953,2.700000,179.2,0,325,0
8:3:1:258,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:1:940,56.309115,44.076953,2.600000,179.2,0,325,0
8:3:2:679,56.309115,44.076953,2.600000,179.2,0,325,0
8:3:3:881,56.309115,44.076953,2.600000,179.2,0,325,0
8:3:4:694,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:5:933,56.309115,44.076953,2.500000,179.2,0,325,0
8:3:7:34,56.309115,44.076953,2.500000,179.2,0,325,0
8:3:7:729,56.309115,44.076953,2.500000,179.2,0,325,0
8:3:8:983,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:9:686,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:11:51,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:11:654,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:12:888,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:14:311,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:14:960,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:15:583,56.309115,44.076953,3.900000,179.2,0,325,0
8:3:15:667,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:16:892,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:18:92,56.309115,44.076953,2.400000,179.2,0,325,0
8:3:19:825,56.309152,44.076882,2.400000,178.9,0,318,1.8205724954605103
8:3:19:892,56.309152,44.076882,3.900000,178.9,0,318,1.8205724954605103
8:3:21:98,56.309173,44.076852,2.400000,178.5,0,322,3.8398277759552
8:3:21:907,56.309207,44.076808,2.400000,178.2,0,325,5.303183078765869
8:3:22:644,56.309248,44.076757,3.900000,178.2,0,323,5.699004650115967
8:3:23:881,56.309293,44.076680,3.900000,178.3,0,324,6.032029628753662
8:3:25:781,56.309398,44.076570,3.000000,178.1,0,325,6.694477081298828
8:3:25:848,56.309398,44.076570,3.900000,178.1,0,325,6.694477081298828
8:3:27:61,56.309452,44.076510,2.900000,178.2,0,325,6.686756610870361
8:3:27:690,56.309505,44.076447,2.800000,178.2,0,327,7.028532028198242
8:3:28:999,56.309557,44.076380,2.800000,178.2,0,325,7.196846008300781
8:3:29:659,56.309612,44.076315,2.700000,178.2,0,326,7.3769989013671875
