time,x,y,z
13:28:1:129,0.84,9.97,-0.55
13:28:1:216,0.86,10.03,-0.63
13:28:1:292,0.98,10.01,-0.58
13:28:1:431,0.93,9.95,-0.5
13:28:1:569,0.98,10.09,-0.68
13:28:1:702,0.94,9.94,-0.59
13:28:1:749,1.09,9.81,-0.49
13:28:1:896,0.91,9.9,-0.45
13:28:1:936,1,9.95,-0.51
13:28:2:97,0.99,10.09,-0.67
13:28:2:226,0.8,9.97,-0.52
13:28:2:332,0.77,10.01,-0.7
13:28:2:389,0.77,10.01,-0.7
13:28:2:492,0.84,9.92,-0.53
13:28:2:655,0.9,9.96,-0.54
13:28:2:772,0.94,9.95,-0.66
13:28:2:810,0.94,9.95,-0.66
13:28:3:4,0.95,10.04,-0.63
13:28:3:116,0.96,9.95,-0.0
13:28:3:209,0.93,10.02,-0.0
13:28:3:344,0.95,10.01,-0.64
13:28:3:462,0.9,10,-0.55
13:28:3:545,0.93,9.96,-0.53
13:28:3:579,0.93,10.01,-0.58
13:28:3:634,0.84,10,-0.61
13:28:3:697,0.89,9.96,-0.55
13:28:3:750,0.92,10.06,-0.6
13:28:3:808,0.92,10.06,-0.6
13:28:3:905,0.89,9.97,-0.55
13:28:4:71,0.87,9.95,-0.52
13:28:4:242,0.95,9.88,-0.43
13:28:4:349,0.98,10.02,-0.61
13:28:4:409,0.89,10.06,-0.66
13:28:4:530,0.98,9.99,-0.58
13:28:4:610,0.91,9.97,-0.57
13:28:4:661,0.99,9.97,-0.56
13:28:4:755,0.94,9.97,-0.52
13:28:4:829,0.94,10.01,-0.6
13:28:4:876,1.02,9.97,-0.56
13:28:4:933,1.02,9.97,-0.56
13:28:4:971,1,9.98,-0.62
13:28:5:83,0.85,10.02,-0.55
13:28:5:171,0.9,9.94,-0.6
13:28:5:335,0.98,9.94,-0.51
13:28:5:482,0.91,9.99,-0.56
13:28:5:605,0.96,10.02,-0.65
13:28:5:666,0.96,10.02,-0.65
13:28:5:825,0.97,9.99,-0.51
13:28:6:3,0.96,9.91,-0.53
13:28:6:41,0.95,9.9,-0.55
13:28:6:101,0.95,9.9,-0.55
13:28:6:199,0.96,10,-0.61
13:28:6:331,0.94,9.95,-0.59
13:28:6:454,0.94,9.95,-0.54
13:28:6:501,0.94,9.95,-0.54
13:28:6:554,1,9.98,-0.61
13:28:6:686,0.98,9.99,-0.6
13:28:6:780,0.92,10.05,-0.61
13:28:6:816,0.92,9.94,-0.57
13:28:6:871,0.98,9.9,-0.6
13:28:7:9,0.91,10.04,-0.62
13:28:7:136,0.98,9.89,-0.53
13:28:7:187,0.95,10.02,-0.6
13:28:7:245,0.94,9.99,-0.67
13:28:7:348,0.94,9.99,-0.67
13:28:7:436,0.92,9.98,-0.56
13:28:7:476,0.97,9.95,-0.6
13:28:7:544,0.92,10.04,-0.63
13:28:7:605,0.94,10.06,-0.62
13:28:7:659,1.01,9.94,-0.6
13:28:7:717,1.02,9.96,-0.65
13:28:7:800,0.97,10.01,-0.58
13:28:7:971,0.94,10.04,-0.65
13:28:8:74,0.8,9.97,-0.58
13:28:8:167,0.92,9.78,-0.4
13:28:8:286,0.95,10.07,-0.74
13:28:8:477,0.91,10.06,-0.66
13:28:8:529,0.91,10.02,-0.72
13:28:8:617,0.98,9.85,-0.48
13:28:8:678,1.06,9.84,-0.51
13:28:8:763,1.01,9.94,-0.58
13:28:8:822,0.88,10.06,-0.83
13:28:8:920,0.86,10.08,-0.71
13:28:9:34,0.95,10.03,-0.62
13:28:9:138,0.98,9.99,-0.69
13:28:9:199,0.98,9.99,-0.69
13:28:9:391,0.96,9.96,-0.6
13:28:9:564,1.05,9.94,-0.62
13:28:9:673,0.94,10.01,-0.62
13:28:9:802,1.04,10.06,-0.68
13:28:9:898,0.97,10.02,-0.58
13:28:10:4,0.94,9.92,-0.64
13:28:10:40,0.93,10.78,-0.55
13:28:10:159,0.96,11.03,-0.85
13:28:10:232,0.79,10.48,-0.41
13:28:10:364,0.87,10.86,-0.79
13:28:10:461,0.92,10.65,-0.5
13:28:10:570,0.85,10.79,-0.75
13:28:10:646,0.94,10.76,-0.52
13:28:10:886,0.93,9.91,-0.73
13:28:10:944,1.09,9.6,-0.41
13:28:11:40,0.83,10.34,-0.85
13:28:11:162,1,9.83,-0.44
13:28:11:343,0.99,9.79,-0.59
13:28:11:473,1.01,10.01,-0.68
13:28:11:685,0.92,10.22,-0.82
13:28:11:763,1,9.87,-0.51
13:28:11:818,0.93,9.76,-0.42
13:28:11:921,0.9,10.01,-0.6
13:28:12:33,1.03,9.61,-0.34
13:28:12:115,0.97,10.06,-0.73
13:28:12:246,1.14,9.63,-0.32
13:28:12:343,0.89,10.04,-0.72
13:28:12:454,0.93,9.95,-0.68
13:28:12:562,0.92,10.12,-0.75
13:28:12:657,0.79,10,-0.61
13:28:12:801,1.19,10.02,-0.53
13:28:12:927,1.23,9.81,-0.42
13:28:13:161,0.98,9.82,-0.55
13:28:13:323,0.91,10.01,-0.72
13:28:13:412,1.01,9.99,-0.65
13:28:13:526,0.88,10.13,-0.79
13:28:13:647,0.93,9.95,-0.61
13:28:13:696,0.97,10.01,-0.62
13:28:13:761,0.97,10.01,-0.62
13:28:13:855,1.14,9.93,-0.72
13:28:14:9,1.02,11.48,-0.98
13:28:14:174,0.84,10.32,-0.46
13:28:14:213,0.88,10,-0.52
13:28:14:295,1.02,9.6,-0.63
13:28:14:426,0.93,9.95,-0.59
13:28:14:524,1.02,9.89,-0.66
13:28:14:635,0.86,10.18,-0.77
13:28:14:834,1.08,10.04,-0.53
13:28:14:924,0.82,10.04,-0.71
13:28:15:53,0.86,10.16,-0.79
13:28:15:156,0.9,10.02,-0.72
13:28:15:276,0.82,10.03,-0.76
13:28:15:382,1.06,10.04,-0.76
13:28:15:472,1.08,10.17,-0.57
13:28:15:515,1.44,10.15,-0.9
13:28:15:599,0.76,10.31,-1
13:28:15:707,0.77,9.82,-0.53
13:28:15:763,1.14,9.71,-0.53
13:28:15:891,1.32,9.89,-0.69
13:28:16:21,1.06,9.87,-0.37
13:28:16:129,0.56,10.5,-0.0
13:28:16:187,0.74,9.72,-0.38
13:28:16:259,0.89,10.57,-0.97
13:28:16:360,0.93,10.13,-0.76
13:28:16:456,0.79,9.92,-0.64
13:28:16:582,0.68,10.25,-0.97
13:28:16:729,0.95,9.95,-0.86
13:28:16:826,0.96,10.06,-0.75
13:28:16:922,0.81,10.26,-1.28
13:28:17:69,0.71,9.15,-0.04
13:28:17:113,0.71,9.15,-0.04
13:28:17:195,0.98,9.11,0.13
13:28:17:256,-1.57,11.23,-1.21
13:28:17:449,0.87,9.73,-1.06
13:28:17:598,0.91,10.42,-1.37
13:28:17:709,-1.22,10.51,-1
13:28:17:847,-0.96,10.45,0.1
13:28:17:957,-1.42,9.2,-0.01
13:28:18:123,-1.37,9.33,1.07
13:28:18:174,1.19,9.08,0.3
13:28:18:230,1.47,10.78,0.32
13:28:18:344,0.06,10.83,-0.89
13:28:18:456,-0.68,10.69,-0.36
13:28:18:503,-0.68,10.69,-0.36
13:28:18:645,-0.59,9.66,-0.02
13:28:18:687,-0.2,9.18,0.04
13:28:18:746,-0.19,9.29,-0.17
13:28:18:827,0.06,9.4,-0.22
13:28:18:936,-0.71,10.67,-0.11
13:28:19:38,-0.94,10.91,0.44
13:28:19:147,0.26,7.97,-0.85
13:28:19:242,-1.7,12.17,-0.06
13:28:19:404,-1.66,14.63,-0.3
13:28:19:508,-0.73,14.82,0.07
13:28:19:577,0.47,6.46,-0.77
13:28:19:627,0.68,9.4,-0.14
13:28:19:683,0.68,9.4,-0.14
13:28:19:716,0.6,11.04,-0.31
13:28:19:819,0.05,8.86,-0.17
13:28:19:914,-0.09,10.45,-0.05
13:28:19:987,0.96,9.53,-0.9
13:28:20:63,0.31,10.04,-0.54
13:28:20:149,0.65,10.47,-1.15
13:28:20:284,-1.37,10.23,-0.4
13:28:20:384,0.06,7.71,-0.23
13:28:20:548,0.01,7.65,3.06
13:28:20:671,0.84,1.45,10.57
13:28:20:749,1.85,-1.65,11.99
13:28:20:859,-7.14,-7.48,19.6
13:28:20:989,6.2,0.01,5.24
13:28:21:74,-3.45,3.07,5.7
13:28:21:159,-2.85,5.4,2.71
13:28:21:197,1.5,1.98,11.37
13:28:21:374,0.68,2.82,9.44
13:28:21:484,-0.35,-0.44,10.14
13:28:21:605,-0.7,-0.21,10.31
13:28:21:686,-0.06,-1.12,10.98
13:28:21:826,1.16,-0.1,9.92
13:28:21:930,1.15,1.42,7.49
13:28:22:38,0.5,2.23,7.21
13:28:22:136,0.16,1.12,9.11
13:28:22:215,0.9,-2.77,12.5
13:28:22:291,-1.09,-4.46,9.26
13:28:22:396,-2.73,-3.35,9.3
13:28:22:472,-5.09,-0.37,8.66
13:28:22:538,-4.18,-1.93,8.8
13:28:22:665,11.74,-2.31,6.04
13:28:22:814,-4.63,-4.61,8.57
13:28:22:964,-0.15,-6.92,9.4
13:28:23:106,0.6,-3.95,7.09
13:28:23:228,0.03,-3.76,6.69
13:28:23:363,0.12,-7.24,11.0
13:28:23:523,-0.32,-2.96,7.59
13:28:23:699,-0.46,-7.64,11.64
13:28:23:810,0.27,-3.95,7.34
13:28:23:909,0.95,-4.57,7.24
13:28:24:41,0.12,-4.72,9.82
13:28:24:140,-0.13,-3.63,9.92
13:28:24:181,0.59,-3.77,8.47
13:28:24:367,0.51,-4.31,10.82
13:28:24:472,2.3,-3.89,8.32
13:28:24:590,1.82,-1.7,4.63
13:28:24:641,-4.39,-6.17,10.88
13:28:24:705,2.01,-6.88,11.45
13:28:24:926,2.69,-4.53,7.07
13:28:24:989,2.69,-4.53,7.07
13:28:25:117,2.21,-6.07,12.11
13:28:25:161,1.36,-2.72,8.48
13:28:25:286,-1.61,-2.29,3.3
13:28:25:456,-0.12,-2.55,10.5
13:28:25:504,2.68,-2.13,6.82
13:28:25:647,0.36,-7.3,11.98
13:28:25:698,0.94,-5.48,11.63
13:28:25:765,1.92,-2.14,2.5
13:28:25:848,-4.24,-1.25,3.91
13:28:25:993,0.2,-3.73,8.82
13:28:26:75,3.96,-4.03,6.82
13:28:26:237,0.88,-6.36,15.13
13:28:26:305,3.51,-3.18,1.59
13:28:26:405,-2.38,-0.44,2
13:28:26:530,-1.47,-7.44,16.0
13:28:26:638,3.06,-3.79,8.9
13:28:26:743,0.66,-5.95,13.74
13:28:26:892,2.9,-0.5,4.74
13:28:27:124,0.52,-11.81,16.04
13:28:27:244,2.13,-2.88,10.62
13:28:27:358,0.21,-2.28,9.14
13:28:27:410,2.14,-4.32,14.39
13:28:27:503,0.61,-4.81,11.56
13:28:27:614,-1.19,-1.78,7.59
13:28:27:676,0.57,-2.26,7.67
13:28:27:784,-0.04,-3.2,13.02
13:28:27:930,-4.19,-2.3,11.12
13:28:28:48,0.84,-1.44,6.43
13:28:28:160,0.19,-0.65,8.38
13:28:28:275,0.42,-0.99,10.06
