time,x,y,z
13:38:35:921,-1.3,-1.13,11.7
13:38:35:984,-1.3,-1.13,11.79
13:38:36:83,-0.64,1.02,9.85
13:38:36:195,0.77,1.35,10.05
13:38:36:269,-1.06,0.49,10.62
13:38:36:406,0.06,-1.74,9.38
13:38:36:467,1.48,0.35,9.21
13:38:36:509,-0.83,1.09,10.04
13:38:36:652,-0.42,3.66,6.46
13:38:36:790,0.67,0.58,10.73
13:38:36:875,-1.17,5.38,5.55
13:38:36:977,1.36,4.26,8.73
13:38:37:51,-1.47,0.83,9.63
13:38:37:173,-1.35,4.37,9.37
13:38:37:232,-0.61,4.79,8.08
13:38:37:628,-1.13,0.15,9.56
13:38:38:16,-1.61,-0.06,10.18
13:38:38:306,-1.64,-1.04,10.44
13:38:38:431,-0.4,0.01,11.27
13:38:38:543,2.68,-0.59,8.66
13:38:38:968,-0.9,-3.48,13.21
13:38:39:32,-0.68,0.48,8.24
13:38:39:124,2.04,0.46,10.43
13:38:39:223,-1.91,0.34,10.52
13:38:39:336,-2.3,-0.22,10.24
13:38:39:401,-1.84,0.93,11.24
13:38:39:582,-2.66,0.64,8.56
13:38:40:58,-0.65,-0.06,10.46
13:38:40:144,-1.03,0.98,10.23
13:38:40:247,-0.63,-1.37,10.78
13:38:40:352,0.64,-0.61,10.35
13:38:40:456,0.12,2.34,9.17
13:38:40:761,0.08,1.71,8.84
13:38:41:96,-2.56,0.11,10.08
13:38:41:176,-0.07,0.56,10.89
13:38:41:278,-2.59,-1.7,11.29
13:38:41:399,-0.21,0.62,10.14
13:38:41:749,-1.85,2.46,10.89
13:38:42:88,0.35,1.73,9.53
13:38:42:276,-0.52,1.47,8.36
13:38:42:369,0.74,0.77,9.7
13:38:42:487,0.12,-1.06,12.37
13:38:42:568,0.07,-1,10.06
13:38:42:645,-0.12,0.14,9.15
13:38:43:182,-1.43,1.03,9.99
13:38:43:265,-1.67,1.72,10.33
13:38:43:349,-0.12,0.62,9.88
13:38:43:552,-1.27,-1,10.3
13:38:43:478,-0.09,-0.34,9.51
13:38:43:961,-1.02,1.06,9.64
13:38:44:175,-0.49,2.9,7.84
13:38:44:246,-1.52,0.39,10.76
13:38:44:353,0.58,0.09,9.55
13:38:44:733,0.31,1.22,8.73
13:38:44:784,-0.62,0.34,10.2
13:38:44:871,-1.29,-0.35,10.43
13:38:44:971,-2.27,-0.3,8.75
13:38:45:136,-0.3,-2.84,10.92
13:38:45:221,-0.19,-1.17,10.46
13:38:45:368,0.1,1.98,10.95
13:38:45:473,-2.6,0.19,8.51
13:38:45:628,1.84,0.85,9.37
13:38:45:660,1.84,0.85,9.37
13:38:45:779,-0.09,0.47,9.99
13:38:45:908,-2.38,0.52,11.28
13:38:46:12,0.79,0,10.05
13:38:46:159,-0.34,0.63,9.4
13:38:46:616,0.46,-0.1,9.94
13:38:46:979,-1.21,-0.89,11.3
13:38:47:78,1.74,0.95,8.45
13:38:47:185,-2.3,1.65,10.06
13:38:47:279,-1.28,1.65,8.77
13:38:47:395,0.19,0.79,9.32
13:38:47:491,-0.18,2.66,8.4
13:38:47:794,0.1,1,9.91
13:38:48:89,0.18,-1.35,10.73
13:38:48:187,-0.36,-0.61,9.32
13:38:48:312,-2.23,-1.59,10.94
13:38:48:445,-0.31,-2.06,10.46
13:38:48:513,-0.41,0.22,10.98
13:38:48:585,-0.21,-0.3,11.38
13:38:48:691,-1.65,0.08,10.25
13:38:48:751,0.87,1.48,8.9
13:38:48:859,-1.03,-0.61,10.66
13:38:49:40,-0.56,-1.04,9.89
13:38:49:335,-1.63,1.01,8.85
13:38:49:613,-0.96,1.09,9.21
13:38:49:954,1.2,3.28,6.48
13:38:50:16,-1.5,1.2,9.28
13:38:50:196,-0.74,4.1,8.82
13:38:50:290,0.11,0.5,8.12
13:38:50:345,-1.89,-0.51,9.8
13:38:50:408,-1.23,2.79,8.69
13:38:50:555,-2.04,0.62,10.79
13:38:51:85,-1.76,3.04,8.27
13:38:51:245,-0.94,1.74,10.06
13:38:51:360,-0.62,-1.6,10.7
13:38:51:533,-0.97,-1.07,11.0
13:38:51:664,0.09,-1.74,11.83
13:38:51:741,-1.19,-0.66,10.95
13:38:52:249,0.32,0.23,8.81
13:38:52:384,0.47,-1.52,11.97
13:38:52:535,-0.36,1.28,9.4
13:38:53:3,-0.49,-1.29,10.44
13:38:53:134,-0.84,-0.48,10.97
13:38:53:235,-1.25,-0.65,12.4
13:38:53:366,-1.02,1.98,9.19
13:38:53:542,-0.97,-1.66,11
13:38:53:833,0.1,0.79,11.68
13:38:53:903,-0.96,-2.53,11.78
13:38:54:374,0.46,2.06,8.14
13:38:54:507,-0.59,2.98,9.7
13:38:54:794,-0.06,1.72,9.73
13:38:54:956,-0.87,-0.93,9.74
13:38:55:69,0.6,-0.14,10.63
13:38:55:189,-0.54,0.43,9.85
13:38:55:235,-1.17,0.72,9.19
13:38:55:386,-0.49,0.85,9.94
13:38:55:454,0.69,0.62,11.19
13:38:55:844,0.2,-1.13,9.6
13:38:55:908,-1.02,-2.46,10.52
13:38:55:951,-0.6,-2.05,11.13
13:38:56:4,-0.52,0.32,8.15
13:38:56:169,-1.72,0.46,9.26
13:38:56:266,-1.15,2.85,10.0
13:38:56:315,-0.72,2.38,10.18
13:38:56:422,-0.92,1.81,7.64
13:38:56:498,-0.84,1.25,9.83
13:38:56:534,-0.84,1.25,9.83
13:38:56:584,-0.43,0.88,9.6
13:38:56:674,-0.61,1.36,8.43
13:38:56:729,-0.61,1.36,8.43
13:38:56:814,-2.03,-2.86,13.91
13:38:56:927,-1,1.47,7.34
13:38:57:310,-2.46,-0.83,10.95
13:38:57:632,-0.23,-2,10.74
13:38:58:206,-1.59,-1.52,11.38
13:38:58:358,-0.79,1.61,7.72
13:38:58:485,-0.01,-0.15,9.1
13:38:58:856,-0.17,-0.4,11.38
13:38:58:973,-2.4,-0.43,8.8
13:38:59:25,-1.36,-0.73,11.07
13:38:59:116,-0.27,-0.72,10.86
13:38:59:242,-0.83,-0.11,10.12
13:38:59:309,-1.19,0.08,10.87
13:38:59:453,-1.92,0.57,10.94
13:39:0:74,-2.55,0.59,9.71
13:39:0:231,-1.53,-1.76,12.51
13:39:0:339,0.45,1.51,9.07
13:39:0:456,-1.25,1.45,8.54
13:39:0:587,0.25,3.51,6.79
13:39:0:833,-0.96,-0.64,11.64
13:39:1:129,-1.41,-1.25,13.53
13:39:1:177,0.27,2.57,10.17
13:39:1:312,-1.16,0.08,10.09
13:39:1:433,-1.61,0.09,10
13:39:1:758,-0.2,-0.32,9.0
13:39:1:829,-1.12,-0.19,11.76
13:39:1:980,-2.12,-2.24,15.7
13:39:2:100,-1.63,-0.93,9.0
13:39:2:151,-0.25,1.89,9.28
13:39:2:289,-1.01,-0.29,9.96
13:39:2:354,-0.57,1.13,6.76
13:39:2:439,-0.59,-3.71,12.68
13:39:2:561,0.31,0.69,9.76
13:39:2:985,-1.4,2.32,8.46
13:39:3:39,-0.16,1.27,8.43
13:39:3:130,0.59,-5.64,14.34
13:39:3:199,0.27,-1.07,10.27
13:39:3:298,-0.58,-0.26,9.17
13:39:3:346,-0.25,-0.14,12.15
13:39:3:500,0.4,1.12,9.45
13:39:3:538,1.01,3.99,7.16
13:39:3:697,0.16,1.08,8.96
13:39:4:8,0.14,1.95,7.6
13:39:4:277,-1.75,5.44,4.31
13:39:4:411,-2.61,3.06,8.35
13:39:4:461,1,-0.77,9.71
13:39:4:781,0.77,0.96,7.68
13:39:5:98,-0.95,-5.61,16.83
13:39:5:178,-0.06,-2.62,9.75
13:39:5:256,0.16,-0.48,7.99
13:39:5:328,-1.41,-6.68,16.81
13:39:5:712,-1.14,0.05,12.42
13:39:6:23,-0.41,2.64,7.07
13:39:6:98,-1.45,2.36,14.2
13:39:6:255,-0.49,-5.34,13.66
13:39:6:356,-0.25,-2.49,12.12
13:39:6:405,-0.91,3.71,5.38
13:39:6:551,0.74,0.81,8.1
13:39:6:879,-3.08,-0.59,12.27
13:39:6:989,-3.25,13.55,4.62
13:39:7:68,-2.29,4.11,11.89
13:39:7:157,0.17,0.35,9.74
13:39:7:337,-0.13,1.46,8.99
13:39:7:506,-0.65,-4.29,13.86
13:39:7:587,-0.28,-2.91,9.99
13:39:7:945,-1.52,0.34,11.34
13:39:8:62,-1.23,4.17,7.37
13:39:8:249,0.77,0.48,8.83
13:39:8:296,-1.94,0.32,8.91
13:39:8:353,0.8,-2.61,10.97
13:39:8:723,0.77,-0.66,9.8
13:39:9:73,-1.68,-0.09,10.18
13:39:9:233,-1.68,-5.32,14.42
13:39:9:302,-0.59,-0.47,12.06
13:39:9:426,-0.03,-3.49,10.99
13:39:9:960,-1.21,0.27,11.97
13:39:10:47,1.14,-3.31,10.85
13:39:10:143,-1.9,-3.28,13.34
13:39:10:179,-1.18,-0.25,10.98
13:39:10:411,1.15,-3.15,10.06
13:39:10:568,0.92,5.24,5.03
13:39:11:103,-0.95,0.07,10.46
13:39:11:217,-0.79,-1.67,11.88
13:39:11:354,-1.05,0.71,10.88
13:39:11:465,-1.1,-3.25,11.01
13:39:11:558,-0.9,2.55,7.77
13:39:11:899,-0.54,2.14,7.89
13:39:12:172,-1.07,-4.63,13.71
13:39:12:299,-1.82,-4.91,12.55
13:39:12:423,0.09,-0.92,9.73
13:39:12:466,-0.54,0.82,8.38
13:39:12:533,-1.73,-0.27,11.21
13:39:12:655,-0.81,0.41,9.99
13:39:12:831,-1.66,2.98,8.35
13:39:12:922,0.05,-1.36,8.36
13:39:13:332,-0.49,0.31,10.05
13:39:13:406,-1.03,-0.34,10.03
13:39:13:695,-0.65,0.98,10.84
13:39:14:3,-0.5,0.47,8.68
13:39:14:96,1.19,0.89,8.74
13:39:14:205,-1.58,0.88,9.77
13:39:14:354,0.18,0.89,10.05
13:39:14:452,-1,-1.54,12.3
13:39:14:843,-0.75,2.45,8.47
13:39:15:11,0.09,3.55,4.1
13:39:15:124,-0.27,0.82,9.28
13:39:15:288,-1.2,-3.74,11.77
13:39:15:336,0.24,-2.11,11.59
13:39:15:370,0.24,-2.11,11.59
13:39:15:446,-1.14,-2.97,12.78
13:39:15:566,-0.53,-1.01,10.46
13:39:15:733,-3.82,-5.23,13.69
13:39:16:168,-3.64,-3.53,3.06
13:39:16:451,-1.05,0.93,9.75
13:39:16:821,-0.29,2.08,9.44
13:39:16:932,0.2,0.81,10.73
13:39:17:33,-0.66,-1.19,10.55
13:39:17:99,-1.37,-0.62,10.31
13:39:17:229,-0.83,1.63,8.99
13:39:17:310,-0.64,0.67,10.77
13:39:17:364,-1.58,0.13,9.38
13:39:17:683,-0.14,1.6,8.57
13:39:18:41,-1.02,1.35,10.28
13:39:18:172,0.66,1.62,8.69
13:39:18:279,-0.16,2.71,9.4
13:39:18:329,-1.12,0.34,9.2
13:39:18:484,-1.43,-0.2,8.7
13:39:18:782,-2.33,-1.98,7.99
13:39:19:93,-0.12,1.73,12.92
13:39:19:183,-3.34,-1.3,10.62
13:39:19:289,-2.19,-1.9,11.45
13:39:19:419,-0.27,-1.02,10.96
13:39:19:753,-0.03,1.42,10.09
13:39:19:826,0.39,3.98,8.27
13:39:19:935,-1.9,1.14,10.95
13:39:20:39,-1.26,1.25,11.24
13:39:20:237,0.09,2.97,8.24
13:39:20:486,-1.19,-7.78,1
13:39:20:593,-1.28,-2.22,9.97
13:39:20:733,-2.47,-9.72,19.37
13:39:21:80,-0.56,0.13,10.69
13:39:21:261,-2.73,-1.19,10.67
13:39:21:333,-1.39,0.28,10.54
13:39:21:417,0.56,-1.62,11.12
13:39:21:492,1.48,-0.2,10.6
13:39:21:611,-1.06,0.23,10.84
13:39:21:895,-0.2,-0.1,9.71
13:39:22:20,-2.49,-3.39,12.75
13:39:22:82,-2.49,-3.39,12.75
13:39:22:204,0.2,0.88,9.48
13:39:22:297,0.01,-0.37,8.99
13:39:22:428,0.16,1.04,9.65
13:39:22:782,-0.48,-2.2,10.06
13:39:23:288,-1.26,0.59,9.16
13:39:23:433,-1.5,-5.14,12.42
13:39:23:501,-0.69,-1.91,11.45
13:39:23:578,-1.15,1.15,9.7
13:39:23:709,0.03,-2.51,11.01
13:39:23:852,-0.6,-0.29,11.61
13:39:23:964,-0.07,2.19,7.69
13:39:24:292,-0.47,0.3,9.34
13:39:24:934,-1.49,-3.87,10.62
13:39:25:84,-0.82,-0.41,12.85
13:39:25:177,-0.07,1.4,8.7
13:39:25:326,-1.32,-0.95,11.25
13:39:25:378,-0.79,1.18,9.56
13:39:25:468,-0.52,0.6,6.89
13:39:26:72,-1.82,-3.75,15.5
13:39:26:195,0.03,-4.9,14.81
13:39:26:281,0.05,-1.17,10.12
13:39:26:318,-0.68,1.01,6.81
13:39:26:352,-0.68,1.01,6.81
13:39:26:382,-2.07,0.13,10.18
13:39:26:499,-0.32,-2.86,8.95
13:39:26:571,-1.47,-6.56,18.54
13:39:26:617,-1.47,-6.56,18.54
13:39:26:772,-3.25,-11.67,19.58
13:39:26:879,0.18,-0.71,13.02
13:39:27:312,-0.34,10.09,10.5
13:39:27:386,-2.32,0.23,9.99
13:39:27:455,-0.84,1.67,9.45
13:39:27:591,-0.87,3.61,6.2
13:39:27:657,1.41,-2.38,14.03
13:39:28:4,2.31,6.08,1.57
13:39:28:125,-0.69,2.47,6.98
13:39:28:219,-0.54,0.36,9.54
13:39:28:410,-2.07,-0.27,12.65
13:39:28:443,-2.16,-0.62,10.24
13:39:28:920,-1.31,2.07,8.57
13:39:29:111,-1.82,0.37,9.31
13:39:29:304,1.74,0.88,7.61
13:39:29:426,-1.36,0.28,10.07
13:39:29:726,0.16,-3.93,11.34
13:39:29:991,-2.13,2.98,8.94
13:39:30:72,-2.22,1.17,9.71
13:39:30:97,-1.09,-1.93,12.27
13:39:30:231,-1.2,-1.47,8.05
13:39:30:305,-1.2,-1.47,8.05
13:39:30:364,-0.43,0.82,9.43
13:39:30:484,-0.81,-2.73,12.3
13:39:30:519,-0.81,-2.73,12.3
13:39:30:612,0.04,-1.7,11.11
13:39:30:664,-3.4,1.7,7.59
13:39:30:746,-0.74,2.04,10.94
13:39:31:67,-1.2,1.11,6.69
13:39:31:203,-0.43,-2.09,10.34
13:39:31:334,-1.53,-2.73,13.35
13:39:31:861,-0.49,2.13,9.49
13:39:32:372,-2.8,-2.38,10.11
13:39:32:606,-1.54,-2.3,10.86
13:39:32:689,-1.11,-2.4,13.24
13:39:33:34,-1.25,1.42,7.83
13:39:33:455,0.26,0.88,8.5
13:39:33:527,1.01,1.98,7
13:39:33:892,-0.55,0.82,10.18
13:39:34:483,0.02,-1.27,8.5
13:39:34:680,0.46,3.55,7.22
13:39:35:77,-2.03,-0.62,11.82
13:39:35:151,-1.36,2.13,8.92
13:39:35:211,-1.36,2.13,
13:39:35:544,0.52,0.64,8.83
13:39:35:697,-1.23,-0.15,10.51
13:39:35:593,-1.86,-0.87,11.08
13:39:35:656,-1.86,-0.87,11.08
13:39:35:776,0.68,-1.88,10.33
13:39:36:81,-1.75,-1.15,10.92
13:39:36:395,-2.3,3.33,4.41
13:39:36:437,-0.39,1.63,9
13:39:36:513,0.73,2.67,9.16
13:39:36:872,0.75,2.47,6.97
13:39:37:279,0.73,5.91,1.34
13:39:37:413,4.57,10.35,3.11
13:39:37:501,4.57,10.35,3.11
13:39:37:597,-1,2.72,9.58
13:39:37:756,0.32,-0.75,8.93
13:39:37:860,-0.95,-1.83,11.44
13:39:38:153,0.18,0.17,8.31
13:39:38:463,-0.91,-0.72,13.14
13:39:38:900,-0.31,-0.44,11.88
13:39:39:16,-0.11,-0.3,9.28
13:39:39:191,-1.1,0.92,7.41
13:39:39:301,0.04,4.7,8.61
13:39:39:397,-0.09,-0.35,11.24
13:39:39:480,-1.45,1.41,6.94
13:39:39:952,-2.49,0.84,9.09
13:39:40:154,-0.93,-2.24,11.34
13:39:40:445,-0.67,2.36,8.61
13:39:40:485,0.64,0.34,11.01
13:39:41:107,0.15,2.91,7.31
13:39:41:287,0.64,0.1,8.84
13:39:41:393,-0.6,2.07,9.16
13:39:41:968,-0.6,0.56,9.01
13:39:42:35,-0.15,2.36,9.11
13:39:42:190,-0.14,0.82,9.42
13:39:42:332,-1.1,-1.14,11.09
13:39:42:409,-0.5,0.13,9.87
13:39:43:189,0.09,0.89,12.65
13:39:43:280,-3.64,1,8.89
13:39:43:307,-1.42,0.9,9.11
13:39:43:369,-0.11,2.36,11.43
13:39:43:492,-0.11,2.36,11.43
13:39:43:543,0.38,0.52,9.15
13:39:43:598,-1.98,-0.28,10.23
13:39:43:697,0.57,0.32,9.66
13:39:43:990,-1.01,1.24,8.17
13:39:44:285,-2.53,-1.33,11.67
13:39:44:419,-0.51,0.44,9.85
13:39:44:495,-0.44,-0.1,10
13:39:44:543,-0.71,0.02,9.91
13:39:44:641,-0.56,-2.13,12.54
13:39:44:798,0.51,1.77,8.54
13:39:44:861,-2.73,-0.77,11.8
13:39:45:37,-2.73,-0.77,11.8
13:39:45:100,-2.73,-0.77,11.8
13:39:45:147,-3.08,1.04,11.5
13:39:45:358,0.2,0.37,7.98
13:39:45:652,-1.91,-1.22,9.65
13:39:45:730,1.05,-0.09,8.88
13:39:45:847,-1.96,2.24,9.31
13:39:46:226,-0.4,1.88,8.95
13:39:46:522,-1.68,-0.19,11.64
13:39:46:900,-0.47,1.64,8.82
13:39:47:599,-0.7,-2.36,12.84
13:39:47:961,-1.84,0.98,11.68
13:39:48:274,-1.88,0.5,10.28
13:39:48:404,-1.8,-3.42,11.58
13:39:48:479,-0.13,1.12,9.75
13:39:48:639,-0.51,-0.21,10.1
13:39:49:399,-1.59,0.29,9.49
13:39:49:508,-0.19,-0.06,7.94
13:39:49:839,-0.97,-1.81,10.33
13:39:50:135,-0.28,-2.27,10.72
13:39:50:197,-1.33,-2.29,11.02
13:39:50:287,0.36,1.91,7.25
13:39:50:395,-1.19,0.09,11.28
13:39:50:426,-1.19,0.09,11.28
13:39:50:525,-1,0.05,8.97
13:39:50:732,-1.06,0.31,9.4
13:39:51:418,-1.62,2.16,6.77
13:39:51:783,0.35,-0.03,10.95
13:39:51:839,-2.42,0.08,11.21
13:39:51:912,-2.42,0.08,11.21
13:39:52:31,-0.92,2.8,8.54
13:39:52:126,-2.02,-2.01,10.5
13:39:52:203,1.52,2.74,8.66
13:39:52:323,-1.93,5.05,9.32
13:39:52:377,-2.07,0.37,11.69
13:39:52:473,-0.76,2.24,7.8
13:39:53:156,-1.5,-1.04,10.65
13:39:53:278,-3.65,-4.36,12.82
13:39:53:428,-1.49,1.15,8.48
13:39:53:577,-0.79,-2.07,11.67
13:39:53:697,-1.24,0.15,9.56
13:39:53:758,0.53,-0.86,9.28
13:39:54:184,-0.72,-0.83,11.7
13:39:54:233,-0.28,3.24,6.45
13:39:54:316,-7.94,-4.12,17.49
13:39:54:430,1.24,19.24,5.16
13:39:54:488,-1.81,8.73,2.58
13:39:54:911,0.97,8.01,2.12
13:39:55:321,0.88,-2.17,12.31
13:39:55:357,0.88,-2.17,12.31
13:39:55:452,-0.9,-2.6,11.27
13:39:55:510,-0.9,-2.6,11.27
13:39:55:693,-0.22,-4.47,10.71
13:39:55:734,-0.9,5.1,11.15
13:39:55:965,-1.27,-0.57,10.48
13:39:56:180,1.07,2.83,8.62
13:39:56:405,-2.07,-0.99,11.37
13:39:57:118,-0.07,0.69,9.2
13:39:57:183,-1.2,-3.18,15.16
13:39:57:352,-3.11,-2.38,9.63
13:39:57:460,0.99,2.34,8.59
13:39:57:519,-3.15,4.39,6.6
13:39:57:845,-0.23,1.61,8.49
13:39:58:150,-2.45,-0.54,9.29
13:39:58:200,-0.63,4,7.65
13:39:58:318,-0.56,-0.38,7.0
13:39:58:405,1.73,2.53,6.0
13:39:58:442,0.56,2.86,10.92
13:39:58:562,-1.15,-1.15,7.96
13:39:58:673,-2.18,4.94,3.65
13:39:58:803,-0.08,4.04,8.98
13:39:58:924,2.37,-4.39,13.53
13:39:59:475,0.53,-0.23,7.45
13:40:0:239,-5.02,0.58,10.32
13:40:0:357,1.66,0.59,11.48
13:40:0:387,-2.35,0.97,8.84
13:40:0:575,-1.92,-2.97,9.25
13:40:1:49,1.41,-12.52,9.79
13:40:1:107,1.41,-12.52,9.79
13:40:1:277,-1.6,0.46,10.66
13:40:1:343,-4.79,0.02,9.08
13:40:1:421,-0.9,-1.64,10.55
13:40:1:562,-1.55,3.15,7.96
13:40:1:599,-0.14,0.31,10.5
13:40:1:640,-0.14,0.31,10.5
13:40:1:673,-0.14,0.31,10.5
13:40:2:152,0.74,4.38,9.14
13:40:2:214,0.35,2.7,10.42
13:40:2:331,-1.04,-2.69,12.42
13:40:2:439,-0.97,-4.14,11.84
13:40:2:534,0.16,2.31,8.95
13:40:2:573,0.18,3.31,7.41
13:40:2:647,0.49,0.56,6.95
13:40:2:749,-0.34,6.34,5.36
13:40:2:849,-2.04,-1.21,11.65
13:40:3:303,-0.68,-0.82,9.85
13:40:3:418,-1.53,1.59,6.7
13:40:3:478,-2.49,-0.12,11.77
13:40:3:811,-1.36,2.88,10.01
13:40:4:152,0.43,-0.32,8.41
13:40:4:203,-1.52,2.99,9.63
13:40:4:256,-0.56,4.54,11.26
13:40:4:439,-2.92,-3.44,11.92
13:40:4:610,-2.16,5.7,8.09
13:40:4:658,1.32,1.84,10.51
13:40:4:981,-3.28,1.97,10.81
13:40:5:127,0.73,-4.44,9.99
13:40:5:258,2.13,3.94,7.88
13:40:5:335,0.13,2.67,11.52
13:40:5:443,-1.74,-1.45,12.15
13:40:5:581,-0.99,1.09,9.95
13:40:5:976,0.21,-1.32,9.32
13:40:6:390,-0.49,-0.96,10.2
13:40:6:474,-0.77,-0.4,11.44
13:40:6:628,1.39,3.68,8.62
13:40:7:35,-0.96,1.88,8.42
13:40:7:159,0.98,0.4,10.16
13:40:7:206,0.64,1.05,7.66
13:40:7:293,-1.87,1.94,10.03
13:40:7:409,-0.92,-0.83,11.66
13:40:7:483,-1.99,-1.31,10.63
13:40:7:905,-1.68,-0.64,11.59
13:40:8:8,-0.69,3.27,9.79
13:40:8:53,-1.22,3.37,9.94
13:40:8:169,-1.82,-2.08,11.4
13:40:8:315,-0.99,-1.3,10.85
13:40:8:358,-0.99,-1.3,10.85
13:40:8:497,-1.81,-0.97,8.34
13:40:8:603,1.47,-0.97,9.53
13:40:8:965,-2.22,0.22,9.6
13:40:9:329,-1.12,-1.5,9.91
13:40:9:440,0.64,1.06,9.75
13:40:9:682,-1.24,-2.09,13.98
13:40:9:993,-0.12,-1.21,10.94
13:40:10:323,-0.49,-1.76,10.58
13:40:10:394,-3.08,1.02,9.7
13:40:10:489,-1.02,-0.51,10.47
13:40:10:789,-3.46,1.31,11.79
13:40:11:178,0.34,3.01,7.7
13:40:11:247,3.19,3.32,9.19
13:40:11:352,-2.15,1.4,10.08
13:40:11:455,0.54,0.85,9.9
13:40:11:792,1.14,2.08,9.65
13:40:11:845,-0.31,1.31,9.26
13:40:11:886,-3.76,2.03,10.23
13:40:11:962,-0.56,0.32,11.96
13:40:12:25,-0.52,0.62,9.31
13:40:12:120,-2.65,-3.13,12.97
13:40:12:214,0.54,-0.59,8.91
13:40:12:319,-1.31,1.31,11.14
13:40:12:383,-1.52,2.42,8.82
13:40:12:428,-0.88,-0.38,10.06
13:40:12:490,-1.22,0.84,10.35
13:40:12:624,-1.03,1.27,10.06
13:40:12:678,-1.91,1.38,9.64
13:40:12:985,-1.07,-0.5,10.48
13:40:13:401,-2.76,0.07,10.01
13:40:13:449,-2.16,-0.21,10.94
13:40:13:567,-0.44,0.06,10.49
13:40:13:764,0.13,0.09,10.89
13:40:13:830,-1.66,-0.35,8.77
13:40:13:896,-1.29,-0.51,10.94
13:40:14:551,-0.56,2.41,8.69
13:40:14:621,0.26,-0.76,10.93
13:40:15:319,0.47,5.3,9.02
13:40:15:436,-2.57,-1.21,10.9
13:40:15:819,-2.71,0,10.59
13:40:15:909,-0.62,-0.97,12.34
13:40:15:983,-0.62,-0.97,12.34
13:40:16:81,-0.84,1.57,12.3
13:40:16:175,-1.25,2.46,8.65
13:40:16:242,-0.9,-0.5,9.87
13:40:16:455,-2,3.3,8.97
13:40:16:548,-0.34,0.69,11
13:40:16:585,-0.09,1.52,8.27
13:40:16:724,0.91,0.58,9.19
13:40:16:762,-1.7,-0.21,14.56
13:40:16:825,-0.77,4.79,6.85
13:40:16:882,0.7,-0.16,11.16
13:40:16:925,0.7,-0.16,11.16
13:40:17:6,-1.86,-3.1,12.03
13:40:16:975,0.7,-0.16,11.16
13:40:17:159,-1.19,3.4,9.4
13:40:17:186,-3.37,4.11,10.05
13:40:17:382,1.09,0.53,8.79
13:40:17:492,2.2,0.84,9.38
13:40:17:571,0.64,2.8,9.63
13:40:17:720,-0.45,-2.07,11.39
13:40:17:789,-0.92,-2.28,10.61
13:40:17:943,1.57,3.28,8.78
13:40:18:3,-4.06,1.99,10.01
13:40:18:65,-2.91,-0.81,11.99
13:40:18:110,0.32,-1.9,9.65
13:40:18:156,-0.18,2.37,7.83
13:40:18:209,-1.65,2.58,8.72
13:40:18:375,-0.8,4.71,13.67
13:40:18:459,0.62,-4.93,11.28
13:40:18:569,-5.25,-3.49,11.62
13:40:18:685,-1.12,-0.43,9.98
13:40:18:744,-2.18,-1.97,10.21
13:40:18:786,-2.18,-1.97,10.21
13:40:18:824,-5.79,0.47,10.41
13:40:19:947,2.72,0.87,8.63
13:40:20:224,4.04,4.97,6.03
13:40:20:318,-4.05,1.41,7.33
13:40:20:489,0.55,4.96,6.88
13:40:21:72,1.45,4.8,8.34
13:40:21:137,-0.51,3.63,9.08
13:40:21:181,-0.51,3.63,9.08
13:40:21:260,-0.9,2.2,9.37
13:40:21:381,-3.67,-2.46,11.4
13:40:21:528,0.88,1.44,8.73
13:40:21:563,0,1.78,11.41
13:40:21:633,-2.64,0.85,8.27
13:40:22:271,-1.59,2.1,9.65
13:40:22:401,-0.26,-0.35,10.72
13:40:22:472,0.09,1.37,8.86
13:40:22:617,2.24,2.02,9.68
13:40:22:710,-1.26,-0.93,11.7
13:40:22:747,-1.04,0.14,9.4
13:40:22:902,-0.84,0.29,10.43
13:40:23:105,-1.95,-0.92,10.68
13:40:23:519,-2.73,1.38,10.98
13:40:23:658,-0.84,-1.79,11.35
13:40:23:991,-1.65,-1.4,11.57
13:40:24:131,-0.32,2.53,6.47
13:40:24:259,-0.86,2.46,8.6
13:40:24:362,-3.75,-4.6,13.02
13:40:24:479,-2.81,0.32,10.6
13:40:24:572,-2.81,0.32,10.6
13:40:24:992,-0.59,1.26,8.8
13:40:25:708,-1.85,2.28,8.62
13:40:26:168,0.51,-0.38,11.75
13:40:26:194,0.51,-0.38,11.75
13:40:26:367,-0.36,-2.5,12.01
13:40:26:439,-1.82,-0.25,11.21
13:40:26:616,-1.07,-0.02,9.82
13:40:26:739,-2.26,0.05,9.47
13:40:26:813,-2.26,0.05,9.47
13:40:27:746,-0.09,0.9,9.4
13:40:28:155,-1.05,1.31,11.17
13:40:28:253,0.77,0.21,10.76
13:40:28:315,-0.07,-0.97,11.19
13:40:28:378,-0.07,-0.97,11.19
13:40:28:429,-2.03,0.42,9.07
13:40:28:570,-0.47,-0.09,10.48
13:40:28:655,-1.4,0.79,9.37
13:40:28:772,-0.16,-1.83,10.32
13:40:28:809,-0.16,-1.83,10.32
13:40:28:916,-1.24,-3.81,12.62
13:40:29:245,0.56,1.08,9.89
13:40:29:370,-1.82,1.64,10.08
13:40:29:399,-1.82,1.64,10.08
13:40:29:521,-1.25,1.86,8.7
13:40:29:609,-1.3,0.5,10.58
13:40:29:694,0.38,-1.74,11.55
13:40:30:105,-0.21,2.39,10.48
13:40:30:440,-0.09,-2.51,12.35
13:40:30:860,1.74,0.19,12.2
